INBOUND_LATITUDE,OUTBOUND_LATITUDE
39.7,1.5
52.1,-15.8
45.9,-13.0
59.6,-18.7
0.0,-35.3
47.4,-13.0
51.0,-21.1
39.9,-12.3
51.1,-16.0
41.8,-6.0
58.7,-17.1
43.7,-12.5
48.9,-14.1
56.0,-23.6
0.0,-23.5
46.7,-21.7
59.8,-25.4
55.6,-26.0
57.6,-26.1
52.0,-19.5
48.7,-20.7
55.9,-25.5
51.0,-6.2
60.3,-22.1
57.2,-27.2
58.1,-3.1
64.1,-25.7
0.0,-22.7
65.8,-38.3
0.0,-24.3
71.9,-34.6
55.1,-40.6
68.6,-42.2
0.0,-36.4
55.0,-29.2
42.0,-40.1
0.0,-32.5
30.8,-6.6
36.3,-31.8
58.0,-25.5
0.0,-51.1
54.2,-33.1
41.8,-17.9
60.7,-23.0
24.8,-27.5
58.1,-47.1
0.0,-38.1
48.6,-46.3
46.0,-24.5
55.3,-11.9
60.5,-26.8
64.1,-54.3
70.5,0.0
65.3,-41.3
0.0,-40.8
60.1,0.0
58.5,-46.5
67.3,0.0
60.4,-40.0
49.6,-43.7
64.0,-33.1
0.0,-29.9
0.0,-42.7
0.0,-33.2
62.0,-25.3
54.5,0.0
63.0,0.0
52.5,-19.2
61.1,0.0
59.3,-28.0
57.3,-17.9
54.6,-49.1
0.0,-54.4
64.1,-40.6
67.1,-47.7
26.5,8.2
51.6,-46.4
46.6,-31.2
61.6,-26.9
-62.7,-66.6
65.7,-39.7
69.4,0.0
37.4,-5.3
62.8,-28.0
60.4,-26.7
45.4,-32.0
55.1,-21.5
60.2,-31.0
60.9,-23.6
54.4,-28.2
68.7,-41.7
53.9,-32.0
48.0,-6.4
51.5,-31.8
60.7,-18.3
66.7,-30.2
62.9,-25.2
62.1,0.0
49.2,-44.6
46.3,-24.7
64.2,-32.2
69.5,-36.3
68.6,-30.9
56.7,-29.9
58.7,-26.6
56.3,0.0
71.9,-21.2
41.7,-12.6
58.4,-23.7
68.8,-22.9
69.9,-21.8
70.7,-25.9
61.9,-24.4
61.1,-27.2
46.5,-13.5
60.5,-31.3
53.3,-18.9
67.5,-32.0
56.8,-18.6
48.0,-18.8
51.5,-23.6
50.4,-17.8
54.2,-15.9
45.3,-13.3
48.9,-16.7
52.2,-18.4
64.1,-28.4
52.2,-12.2
59.7,-16.6
46.4,-18.3
49.6,-14.1
60.0,-18.7
62.2,-21.5
58.6,-21.2
49.6,-15.6
55.1,-15.7
53.9,-5.7
47.7,-14.2
63.3,-21.8
52.6,-8.6
53.7,-7.6
59.6,-9.1
47.2,-1.9
50.7,-9.0
50.9,-8.7
43.8,-4.1
53.0,-7.3
50.1,-0.4
46.5,-2.6
57.9,-11.0
56.0,-5.4
50.9,-7.3
51.0,-5.2
50.0,-6.4
38.6,-0.2
63.9,-14.6
47.4,-4.4
43.1,-3.2
46.0,-4.4
55.5,-9.0
39.5,-0.9
40.9,-2.1
47.5,-3.4
52.0,-3.9
49.8,-0.9
36.0,1.0
35.2,-2.9
43.2,-0.7
51.0,-2.8
34.8,-0.3
38.5,0.0
44.1,-8.2
44.8,-5.2
55.9,-8.2
50.0,-6.5
49.8,-1.6
43.4,1.5
48.1,0.2
37.9,-8.0
35.6,-0.6
17.4,17.4
36.2,0.1
38.9,-3.0
40.1,-2.0
49.4,-2.7
54.0,-9.6
52.7,-0.5
48.0,-5.8
37.4,1.7
34.4,-2.7
46.8,-2.1
61.1,-16.5
40.0,-7.3
53.2,-11.4
42.9,-0.8
53.7,-6.5
35.4,-3.5
38.2,2.5
48.0,-2.1
38.5,0.0
42.4,-8.1
36.2,-11.6
43.7,-6.1
35.3,-12.1
63.5,-13.7
56.5,-19.1
40.3,-9.0
50.3,-16.8
47.2,-14.1
57.2,-30.1
54.0,-25.5
52.1,-25.8
46.1,-22.5
54.2,-23.1
41.1,-6.4
44.3,-11.9
45.9,-9.2
50.2,-12.6
57.1,-23.5
49.4,-17.1
56.8,-18.5
56.6,-30.6
50.6,-14.0
53.9,-17.2
58.3,-27.6
55.5,-17.4
63.4,-22.5
58.9,-17.8
65.5,-21.7
