YEAR,INBOUND_LATITUDE
1978,39.7
1978,52.1
1978,45.9
1978,59.6
1978,0.0
1978,47.4
1978,51.0
1978,39.9
1978,51.1
1978,41.8
1978,58.7
1978,43.7
1978,48.9
1978,56.0
1978,0.0
1978,46.7
1978,59.8
1978,55.6
1978,57.6
1978,52.0
1978,48.7
1978,55.9
1978,51.0
1978,60.3
1978,57.2
1979,58.1
1979,64.1
1979,0.0
1979,65.8
1979,0.0
1979,71.9
1979,55.1
1979,68.6
1979,0.0
1979,55.0
1979,42.0
1979,0.0
1979,30.8
1979,36.3
1979,58.0
1979,0.0
1979,54.2
1979,41.8
1979,60.7
1979,24.8
1979,58.1
1979,0.0
1979,48.6
1979,46.0
1979,55.3
1979,60.5
1979,64.1
1979,70.5
1979,65.3
1979,0.0
1979,60.1
1979,58.5
1979,67.3
1979,60.4
1979,49.6
1979,64.0
1979,0.0
1979,0.0
1979,0.0
1979,62.0
1979,54.5
1979,63.0
1979,52.5
1979,61.1
1979,59.3
1979,57.3
1979,54.6
1979,0.0
1979,64.1
1979,67.1
1979,26.5
1979,51.6
1979,46.6
1979,61.6
1979,-62.7
1979,65.7
1979,69.4
1979,37.4
1979,62.8
1979,60.4
1979,45.4
1979,55.1
1979,60.2
1979,60.9
1979,54.4
1979,68.7
1979,53.9
1979,48.0
1979,51.5
1979,60.7
1979,66.7
1979,62.9
1979,62.1
1979,49.2
1979,46.3
1979,64.2
1979,69.5
1979,68.6
1979,56.7
1979,58.7
1979,56.3
1979,71.9
1979,41.7
1979,58.4
1979,68.8
1979,69.9
1979,70.7
1979,61.9
1979,61.1
1979,46.5
1979,60.5
1979,53.3
1979,67.5
1979,56.8
1979,48.0
1979,51.5
1979,50.4
1979,54.2
1979,45.3
1979,48.9
1979,52.2
1979,64.1
1979,52.2
1979,59.7
1979,46.4
1979,49.6
1979,60.0
1979,62.2
1979,58.6
1979,49.6
1979,55.1
1979,53.9
1979,47.7
1979,63.3
1979,52.6
1979,53.7
1979,59.6
1979,47.2
1979,50.7
1979,50.9
1979,43.8
1979,53.0
1979,50.1
1979,46.5
1979,57.9
1979,56.0
1979,50.9
1979,51.0
1979,50.0
1979,38.6
1979,63.9
1979,47.4
1979,43.1
1979,46.0
1979,55.5
1979,39.5
1979,40.9
1979,47.5
1979,52.0
1979,49.8
1979,36.0
1979,35.2
1979,43.2
1979,51.0
1979,34.8
1979,38.5
1979,44.1
1979,44.8
1979,55.9
1979,50.0
1979,49.8
1979,43.4
1979,48.1
1979,37.9
1979,35.6
1979,17.4
1979,36.2
1979,38.9
1979,40.1
1979,49.4
1979,54.0
1979,52.7
1979,48.0
1979,37.4
1979,34.4
1979,46.8
1979,61.1
1979,40.0
1979,53.2
1979,42.9
1979,53.7
1979,35.4
1979,38.2
1979,48.0
1979,38.5
1979,42.4
1979,36.2
1979,43.7
1979,35.3
1979,63.5
1979,56.5
1979,40.3
1979,50.3
1979,47.2
1979,57.2
1979,54.0
1979,52.1
1979,46.1
1979,54.2
1979,41.1
1979,44.3
1979,45.9
1979,50.2
1979,57.1
1979,49.4
1979,56.8
1979,56.6
1979,50.6
1979,53.9
1979,58.3
1979,55.5
1979,63.4
1979,58.9
1979,65.5
1979,61.3
1979,60.4
1979,65.0
1979,55.4
1979,56.5
1979,53.4
1979,58.5
1979,34.0
1979,47.9
1979,0.0
1979,50.6
1979,64.7
1979,50.2
1979,51.1
1979,39.1
1979,48.5
1979,66.0
1979,46.6
1979,61.2
1979,64.3
1979,63.0
1979,64.7
1979,54.5
1979,0.0
1979,61.6
1979,60.8
1979,52.1
1979,70.0
1979,59.0
1979,60.9
1979,67.2
1979,65.0
1979,50.0
1979,35.1
1979,62.6
1979,0.0
1979,36.8
1979,52.4
1979,70.1
1979,65.5
1979,54.2
1979,69.0
1979,61.0
1979,72.9
1979,51.3
1979,61.4
1979,55.7
1979,69.0
1979,55.7
1979,49.4
1979,62.7
1979,54.7
1979,66.0
1979,48.7
1979,39.0
1979,50.9
1979,0.0
1979,58.1
1979,61.2
1979,60.5
1979,69.9
1979,61.3
1979,69.0
1979,65.1
1979,66.0
1979,74.5
1979,70.7
1979,62.9
1979,53.1
1979,60.3
1979,61.4
1979,68.3
1979,61.7
1979,54.2
1979,64.6
1979,57.7
1979,44.0
1979,58.5
1979,49.4
1979,47.7
1979,56.7
1979,46.6
1979,55.8
1979,60.5
1979,47.1
1979,53.1
1979,38.6
1979,51.8
1979,60.0
1979,64.0
1979,44.5
1979,54.2
1979,48.2
1980,53.4
1980,60.1
1980,58.6
1980,57.5
1980,46.0
1980,60.2
1980,51.5
1980,60.0
1980,59.1
1980,59.1
1980,62.1
1980,36.7
1980,42.5
1980,39.2
1980,37.6
1980,40.2
1980,40.0
1980,38.5
1980,46.5
1980,43.4
1980,39.3
1980,47.2
1980,32.9
1980,50.3
1980,39.0
1980,46.0
1980,58.1
1980,53.6
1980,59.0
1980,66.5
1980,73.4
1980,49.2
1980,45.6
1980,45.8
1980,50.3
1980,45.9
1980,52.0
1980,39.9
1980,37.2
1980,46.5
1980,51.5
1980,46.1
1980,34.7
1980,0.0
1980,46.2
1980,49.4
1980,48.1
1980,47.2
1980,43.9
1980,47.7
1980,48.4
1980,56.6
1980,62.6
1980,49.0
1980,52.7
1980,48.4
1980,51.3
1980,45.1
1980,55.1
1980,63.8
1980,50.9
1980,54.1
1980,48.6
1980,55.1
1980,62.2
1980,42.5
1980,58.5
1980,59.5
1980,51.1
1980,43.3
1980,49.3
1980,54.1
1980,46.2
1980,50.0
1980,56.7
1980,52.1
1980,0.0
1980,53.4
1980,55.8
1980,63.5
1980,64.9
1980,60.0
1980,65.3
1980,61.8
1980,59.0
1980,51.2
1980,60.7
1980,57.6
1980,64.7
1980,56.0
1980,67.2
1980,57.2
1980,63.8
1980,67.8
1980,62.2
1980,61.5
1980,52.8
1980,46.7
1980,66.9
1980,67.0
1980,61.7
1980,58.7
1980,55.3
1980,0.0
1980,54.3
1980,55.8
1980,59.9
1980,66.8
1980,62.6
1980,0.0
1980,51.6
1980,57.1
1980,65.2
1980,63.8
1980,57.0
1980,52.7
1980,54.0
1980,56.6
1980,61.7
1980,-36.8
1980,54.5
1980,66.3
1980,56.9
1980,61.7
1980,52.8
1980,62.6
1980,62.1
1980,55.8
1980,56.3
1980,65.2
1980,69.3
1980,64.6
1980,69.7
1980,71.0
1980,68.6
1980,68.0
1980,58.5
1980,62.4
1980,56.6
1980,54.0
1980,56.3
1980,61.5
1980,62.6
1980,57.2
1980,73.1
1980,67.8
1980,57.2
1980,62.3
1980,57.1
1980,61.1
1980,66.0
1980,60.9
1980,62.1
1980,52.6
1980,67.9
1980,60.5
1980,62.3
1980,66.9
1980,47.9
1980,68.5
1980,69.4
1980,72.6
1980,61.2
1980,70.9
1980,66.0
1980,56.9
1980,53.7
1980,51.3
1980,58.1
1980,59.4
1980,63.5
1980,55.8
1980,57.7
1980,74.6
1980,58.5
1980,66.6
1980,66.5
1980,63.6
1980,57.4
1980,62.3
1980,57.8
1980,50.5
1980,38.5
1980,57.3
1980,68.4
1980,52.2
1980,67.6
1980,57.9
1980,63.2
1980,55.8
1980,63.5
1980,49.5
1980,63.2
1980,49.5
1980,55.1
1980,60.1
1980,59.1
1980,61.3
1980,51.1
1980,68.4
1980,62.7
1980,58.6
1980,62.7
1980,45.4
1980,38.1
1980,60.8
1980,56.0
1980,64.4
1980,49.0
1980,45.4
1980,57.2
1980,57.6
1980,49.6
1980,40.2
1980,50.1
1980,39.6
1980,52.1
1980,38.6
1980,41.9
1980,53.1
1980,41.4
1980,32.0
1980,39.4
1980,50.5
1980,35.9
1980,52.1
1980,43.1
1980,47.3
1980,32.6
1980,37.6
1980,31.1
1980,0.0
1980,52.4
1980,41.5
1980,24.7
1980,27.2
1980,32.2
1980,41.3
1980,0.0
1980,36.6
1980,20.5
1980,24.0
1980,32.0
1980,24.2
1980,36.6
1980,19.8
1980,34.4
1980,24.0
1980,20.6
1980,23.6
1980,22.1
1980,31.5
1980,0.0
1980,45.6
1980,36.6
1980,27.5
1980,33.9
1980,39.8
1980,41.9
1980,0.0
1980,26.3
1980,34.7
1980,34.4
1980,31.4
1980,56.4
1980,49.7
1980,44.6
1980,42.7
1980,22.0
1980,0.0
1980,36.5
1980,0.0
1980,38.6
1980,46.1
1980,45.1
1980,58.5
1980,56.1
1980,32.8
1980,43.7
1980,40.1
1980,52.8
