OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_ALTITUDE
66.2,522.0
72.9,834.0
73.7,687.0
77.1,867.0
84.6,1748.0
79.6,645.0
83.8,956.0
82.2,600.0
85.3,742.0
84.3,441.0
88.7,778.0
89.1,621.0
91.0,672.0
96.3,1052.0
97.6,1044.0
98.7,959.0
100.9,1137.0
102.4,1162.0
103.8,1170.0
104.3,869.0
106.0,921.0
107.9,1139.0
106.9,444.0
110.6,985.0
112.3,1233.0
111.1,377.0
116.4,1136.0
117.9,1009.0
117.8,1938.0
120.7,1087.0
120.7,1681.0
120.4,2122.0
120.8,2261.0
123.7,1815.0
126.7,1344.0
124.4,2081.0
129.3,1551.0
134.3,468.0
131.7,1515.0
135.1,1145.0
122.6,3134.0
134.2,1584.0
142.4,828.0
141.9,1046.0
140.9,1280.0
128.0,2705.0
135.6,1927.0
129.4,2639.0
146.4,1108.0
154.8,622.0
147.2,1238.0
122.4,3536.0
0.0,0.0
135.5,2177.0
136.0,2149.0
0.0,0.0
130.0,2681.0
0.0,0.0
136.6,2063.0
132.5,2381.0
143.4,1582.0
146.6,1389.0
132.6,2316.0
142.4,1600.0
150.3,1123.0
0.0,0.0
0.0,0.0
153.2,866.0
0.0,0.0
142.9,1248.0
151.5,794.0
119.9,2891.0
113.7,3517.0
127.2,2099.0
119.3,2750.0
158.4,187.0
119.2,2594.0
132.3,1434.0
134.9,1196.0
65.8,16475.0
122.0,2018.0
0.0,0.0
143.8,414.0
128.4,1255.0
128.1,1190.0
123.1,1487.0
129.0,945.0
121.5,1422.0
125.1,1039.0
120.9,1269.0
110.6,2175.0
116.1,1485.0
127.9,443.0
113.8,1467.0
119.8,811.0
112.2,1376.0
113.6,1107.0
0.0,0.0
100.7,2409.0
109.8,1081.0
104.9,1486.0
101.7,1750.0
103.0,1405.0
102.2,1347.0
102.2,1168.0
0.0,0.0
101.5,918.0
102.8,605.0
97.8,1028.0
96.6,989.0
95.5,942.0
92.9,1126.0
91.9,1058.0
89.8,1192.0
91.9,628.0
86.1,1421.0
87.6,818.0
83.3,1457.0
84.8,808.0
83.2,816.0
80.9,1019.0
80.5,777.0
79.4,709.0
78.3,622.0
76.2,738.0
74.5,800.0
72.0,1258.0
72.4,590.0
70.3,739.0
68.6,803.0
67.6,655.0
65.7,822.0
64.1,929.0
62.7,915.0
61.4,704.0
59.9,710.0
59.4,423.0
57.0,653.0
55.7,944.0
54.4,490.0
52.9,469.0
51.2,510.0
50.6,349.0
48.2,516.0
46.7,510.0
45.5,378.0
43.6,457.0
42.9,315.0
41.0,360.0
39.1,570.0
37.6,428.0
36.0,478.0
34.5,431.0
32.9,435.0
31.8,313.0
31.3,683.0
28.3,403.0
26.8,383.0
25.3,413.0
24.4,531.0
22.3,353.0
20.6,340.0
19.1,370.0
17.7,387.0
14.5,337.0
13.0,285.0
11.8,360.0
9.9,323.0
9.1,368.0
6.9,326.0
0.0,0.0
11.1,510.0
8.1,400.0
11.7,478.0
10.6,439.0
6.9,338.0
6.3,290.0
8.5,315.0
16.0,492.0
12.0,335.0
17.0,151.0
