INBOUND_SOLAR_ZENITH_ANGLE,INBOUND_LATITUDE
63.4,39.7
66.4,52.1
66.2,45.9
69.5,59.6
0.0,0.0
71.1,47.4
71.9,51.0
74.1,39.9
74.0,51.1
75.5,41.8
75.6,58.7
77.7,43.7
78.2,48.9
79.1,56.0
0.0,0.0
83.1,46.7
81.2,59.8
83.1,55.6
83.5,57.6
86.1,52.0
88.3,48.7
87.0,55.9
89.6,51.0
86.9,60.3
89.1,57.2
89.6,58.1
88.2,64.1
0.0,0.0
88.6,65.8
0.0,0.0
85.0,71.9
97.6,55.1
89.0,68.6
0.0,0.0
100.4,55.0
110.0,42.0
0.0,0.0
120.5,30.8
118.4,36.3
103.3,58.0
0.0,0.0
108.2,54.2
120.3,41.8
104.8,60.7
135.1,24.8
108.7,58.1
0.0,0.0
119.3,48.6
122.6,46.0
115.3,55.3
110.4,60.5
106.7,64.1
98.4,70.5
106.4,65.3
0.0,0.0
113.9,60.1
116.8,58.5
106.1,67.3
115.5,60.4
128.3,49.6
112.0,64.0
0.0,0.0
0.0,0.0
0.0,0.0
116.2,62.0
125.4,54.5
115.7,63.0
128.9,52.5
119.2,61.1
121.5,59.3
124.0,57.3
127.1,54.6
0.0,0.0
116.6,64.1
112.9,67.1
151.5,26.5
129.9,51.6
134.4,46.6
119.8,61.6
100.5,-62.7
115.3,65.7
110.8,69.4
138.7,37.4
118.2,62.8
120.3,60.4
131.4,45.4
124.0,55.1
119.7,60.2
118.9,60.9
123.2,54.4
111.7,68.7
122.4,53.9
124.9,48.0
122.4,51.5
116.8,60.7
112.4,66.7
114.6,62.9
114.6,62.1
119.4,49.2
119.3,46.3
112.1,64.2
108.9,69.5
109.2,68.6
113.1,56.7
111.8,58.7
111.7,56.3
106.4,71.9
111.4,41.7
109.0,58.4
106.5,68.8
105.8,69.9
105.3,70.7
105.8,61.9
105.1,61.1
103.6,46.5
103.6,60.5
102.2,53.3
102.7,67.5
100.8,56.8
98.3,48.0
97.9,51.5
96.7,50.4
96.6,54.2
93.1,45.3
93.1,48.9
93.1,52.2
96.3,64.1
91.1,52.2
93.1,59.7
86.7,46.4
86.9,49.6
90.8,60.0
91.1,62.2
88.4,58.6
82.8,49.6
84.8,55.1
83.1,53.9
78.6,47.7
87.4,63.3
79.5,52.6
79.2,53.7
82.5,59.6
73.0,47.2
74.3,50.7
73.6,50.9
67.5,43.8
73.3,53.0
70.2,50.1
66.4,46.5
74.8,57.9
72.4,56.0
67.2,50.9
66.3,51.0
64.6,50.0
53.9,38.6
76.7,63.9
59.6,47.4
54.7,43.1
56.6,46.0
65.1,55.5
48.7,39.5
49.2,40.9
54.8,47.5
58.7,52.0
55.0,49.8
40.1,36.0
38.5,35.2
46.1,43.2
53.9,51.0
36.0,34.8
39.2,38.5
44.3,44.1
44.6,44.8
56.6,55.9
49.6,50.0
49.0,49.8
41.8,43.4
46.7,48.1
35.7,37.9
33.4,35.6
17.0,17.4
34.2,36.2
36.9,38.9
38.2,40.1
47.5,49.4
52.3,54.0
51.1,52.7
46.8,48.0
38.4,37.4
36.8,34.4
46.8,46.8
59.9,61.1
42.8,40.0
53.2,53.2
46.2,42.9
54.4,53.7
43.6,35.4
45.9,38.2
52.1,48.0
48.0,38.5
50.7,42.4
49.2,36.2
53.1,43.7
51.2,35.3
65.7,63.5
62.7,56.5
58.1,40.3
61.8,50.3
61.9,47.2
65.6,57.2
65.4,54.0
65.8,52.1
65.7,46.1
68.0,54.2
67.6,41.1
68.9,44.3
70.1,45.9
71.3,50.2
72.6,57.1
73.3,49.4
74.3,56.8
75.1,56.6
76.4,50.6
77.1,53.9
77.6,58.3
78.8,55.5
78.6,63.4
80.1,58.9
79.6,65.5
81.2,61.3
82.2,60.4
81.7,65.0
85.5,55.4
86.0,56.5
118.9,53.4
114.6,58.5
141.5,34.0
129.9,47.9
0.0,0.0
128.4,50.6
112.4,64.7
130.0,50.2
129.7,51.1
142.9,39.1
133.1,48.5
113.0,66.0
135.4,46.6
119.7,61.2
116.2,64.3
117.9,63.0
116.1,64.7
127.1,54.5
0.0,0.0
119.6,61.6
120.2,60.8
127.4,52.1
110.3,70.0
121.1,59.0
119.2,60.9
113.4,67.2
115.4,65.0
125.6,50.0
131.6,35.1
115.7,62.6
0.0,0.0
124.2,36.8
118.7,52.4
108.7,70.1
110.9,65.5
114.1,54.2
108.5,69.0
110.9,61.0
105.8,72.9
111.2,51.3
108.2,61.4
107.6,55.7
105.4,69.0
105.5,55.7
104.2,49.4
104.0,62.7
102.7,54.7
102.9,66.0
99.9,48.7
97.0,39.0
98.7,50.9
0.0,0.0
98.0,58.1
97.9,61.2
96.9,60.5
99.4,69.9
95.7,61.3
98.0,69.0
95.7,65.1
95.4,66.0
100.6,74.5
96.9,70.7
91.8,62.9
86.0,53.1
88.9,60.3
88.7,61.4
92.6,68.3
87.4,61.7
81.8,54.2
88.0,64.6
82.3,57.7
72.5,44.0
81.3,58.5
73.9,49.4
71.7,47.7
77.4,56.7
68.9,46.6
75.1,55.8
78.2,60.5
66.3,47.1
70.2,53.1
57.6,38.6
67.3,51.8
74.2,60.0
78.1,64.0
58.9,44.5
66.9,54.2
60.4,48.2
64.6,53.4
70.7,60.1
68.4,58.6
66.6,57.5
54.2,46.0
68.9,60.2
58.3,51.5
66.5,60.0
65.0,59.1
65.0,59.1
67.9,62.1
39.7,36.7
45.0,42.5
40.8,39.2
38.5,37.6
40.2,40.2
39.6,40.0
37.5,38.5
45.9,46.5
42.2,43.4
37.5,39.3
45.8,47.2
30.6,32.9
48.7,50.3
36.8,39.0
43.9,46.0
56.9,58.1
51.9,53.6
57.7,59.0
66.5,66.5
80.2,73.4
47.6,49.2
44.6,45.6
45.1,45.8
49.3,50.3
45.9,45.9
51.4,52.0
42.5,39.9
41.5,37.2
48.4,46.5
52.5,51.5
49.3,46.1
43.9,34.7
0.0,0.0
52.3,46.2
54.7,49.4
54.8,48.1
55.2,47.2
54.7,43.9
57.1,47.7
58.2,48.4
62.4,56.6
65.9,62.6
61.1,49.0
63.1,52.7
62.8,48.4
64.4,51.3
64.1,45.1
67.0,55.1
70.0,63.8
68.1,50.9
69.4,54.1
69.8,48.6
71.3,55.1
72.8,62.2
73.2,42.5
74.0,58.5
74.8,59.5
76.0,51.1
