OUTBOUND_SOLAR_ZENITH_ANGLE,OUTBOUND_LATITUDE
66.2,1.5
72.9,-15.8
73.7,-13.0
77.1,-18.7
84.6,-35.3
79.6,-13.0
83.8,-21.1
82.2,-12.3
85.3,-16.0
84.3,-6.0
88.7,-17.1
89.1,-12.5
91.0,-14.1
96.3,-23.6
97.6,-23.5
98.7,-21.7
100.9,-25.4
102.4,-26.0
103.8,-26.1
104.3,-19.5
106.0,-20.7
107.9,-25.5
106.9,-6.2
110.6,-22.1
112.3,-27.2
111.1,-3.1
116.4,-25.7
117.9,-22.7
117.8,-38.3
120.7,-24.3
120.7,-34.6
120.4,-40.6
120.8,-42.2
123.7,-36.4
126.7,-29.2
124.4,-40.1
129.3,-32.5
134.3,-6.6
131.7,-31.8
135.1,-25.5
122.6,-51.1
134.2,-33.1
142.4,-17.9
141.9,-23.0
140.9,-27.5
128.0,-47.1
135.6,-38.1
129.4,-46.3
146.4,-24.5
154.8,-11.9
147.2,-26.8
122.4,-54.3
0.0,0.0
135.5,-41.3
136.0,-40.8
0.0,0.0
130.0,-46.5
0.0,0.0
136.6,-40.0
132.5,-43.7
143.4,-33.1
146.6,-29.9
132.6,-42.7
142.4,-33.2
150.3,-25.3
0.0,0.0
0.0,0.0
153.2,-19.2
0.0,0.0
142.9,-28.0
151.5,-17.9
119.9,-49.1
113.7,-54.4
127.2,-40.6
119.3,-47.7
158.4,8.2
119.2,-46.4
132.3,-31.2
134.9,-26.9
65.8,-66.6
122.0,-39.7
0.0,0.0
143.8,-5.3
128.4,-28.0
128.1,-26.7
123.1,-32.0
129.0,-21.5
121.5,-31.0
125.1,-23.6
120.9,-28.2
110.6,-41.7
116.1,-32.0
127.9,-6.4
113.8,-31.8
119.8,-18.3
112.2,-30.2
113.6,-25.2
0.0,0.0
100.7,-44.6
109.8,-24.7
104.9,-32.2
101.7,-36.3
103.0,-30.9
102.2,-29.9
102.2,-26.6
0.0,0.0
101.5,-21.2
102.8,-12.6
97.8,-23.7
96.6,-22.9
95.5,-21.8
92.9,-25.9
91.9,-24.4
89.8,-27.2
91.9,-13.5
86.1,-31.3
87.6,-18.9
83.3,-32.0
84.8,-18.6
83.2,-18.8
80.9,-23.6
80.5,-17.8
79.4,-15.9
78.3,-13.3
76.2,-16.7
74.5,-18.4
72.0,-28.4
72.4,-12.2
70.3,-16.6
68.6,-18.3
67.6,-14.1
65.7,-18.7
64.1,-21.5
62.7,-21.2
61.4,-15.6
59.9,-15.7
59.4,-5.7
57.0,-14.2
55.7,-21.8
54.4,-8.6
52.9,-7.6
51.2,-9.1
50.6,-1.9
48.2,-9.0
46.7,-8.7
45.5,-4.1
43.6,-7.3
42.9,-0.4
41.0,-2.6
39.1,-11.0
37.6,-5.4
36.0,-7.3
34.5,-5.2
32.9,-6.4
31.8,-0.2
31.3,-14.6
28.3,-4.4
26.8,-3.2
25.3,-4.4
24.4,-9.0
22.3,-0.9
20.6,-2.1
19.1,-3.4
17.7,-3.9
14.5,-0.9
13.0,1.0
11.8,-2.9
9.9,-0.7
9.1,-2.8
6.9,-0.3
0.0,0.0
11.1,-8.2
8.1,-5.2
11.7,-8.2
10.6,-6.5
6.9,-1.6
6.3,1.5
8.5,0.2
16.0,-8.0
12.0,-0.6
17.0,17.4
14.8,0.1
17.9,-3.0
18.9,-2.0
22.3,-2.7
27.8,-9.6
24.5,-0.5
28.5,-5.8
27.0,1.7
30.1,-2.7
