INBOUND_LATITUDE,INBOUND_ALTITUDE,INBOUND_SOLAR_ZENITH_ANGLE,YEAR
39.7,601.0,63.4,1978
52.1,832.0,66.4,1978
45.9,579.0,66.2,1978
59.6,1110.0,69.5,1978
0.0,0.0,0.0,1978
47.4,592.0,71.1,1978
51.0,714.0,71.9,1978
39.9,386.0,74.1,1978
51.1,708.0,74.0,1978
41.8,423.0,75.5,1978
58.7,1032.0,75.6,1978
43.7,469.0,77.7,1978
48.9,623.0,78.2,1978
56.0,896.0,79.1,1978
0.0,0.0,0.0,1978
46.7,549.0,83.1,1978
59.8,1080.0,81.2,1978
55.6,873.0,83.1,1978
57.6,967.0,83.5,1978
52.0,729.0,86.1,1978
48.7,611.0,88.3,1978
55.9,888.0,87.0,1978
51.0,690.0,89.6,1978
60.3,1109.0,86.9,1978
57.2,953.0,89.1,1978
58.1,996.0,89.6,1979
64.1,1330.0,88.2,1979
0.0,0.0,0.0,1979
65.8,1461.0,88.6,1979
0.0,0.0,0.0,1979
71.9,2073.0,85.0,1979
55.1,863.0,97.6,1979
68.6,1711.0,89.0,1979
0.0,0.0,0.0,1979
55.0,853.0,100.4,1979
42.0,424.0,110.0,1979
0.0,0.0,0.0,1979
30.8,236.0,120.5,1979
36.3,320.0,118.4,1979
58.0,995.0,103.3,1979
0.0,0.0,0.0,1979
54.2,831.0,108.2,1979
41.8,433.0,120.3,1979
60.7,1167.0,104.8,1979
24.8,192.0,135.1,1979
58.1,1005.0,108.7,1979
0.0,0.0,0.0,1979
48.6,620.0,119.3,1979
46.0,543.0,122.6,1979
55.3,899.0,115.3,1979
60.5,1173.0,110.4,1979
64.1,1370.0,106.7,1979
70.5,1976.0,98.4,1979
65.3,1472.0,106.4,1979
0.0,0.0,0.0,1979
60.1,1141.0,113.9,1979
58.5,1068.0,116.8,1979
67.3,1642.0,106.1,1979
60.4,1150.0,115.5,1979
49.6,663.0,128.3,1979
64.0,1397.0,112.0,1979
0.0,0.0,0.0,1979
0.0,0.0,0.0,1979
0.0,0.0,0.0,1979
62.0,1248.0,116.2,1979
54.5,857.0,125.4,1979
63.0,1323.0,115.7,1979
52.5,787.0,128.9,1979
61.1,1223.0,119.2,1979
59.3,1104.0,121.5,1979
57.3,989.0,124.0,1979
54.6,866.0,127.1,1979
0.0,0.0,0.0,1979
64.1,1409.0,116.6,1979
67.1,1653.0,112.9,1979
26.5,176.0,151.5,1979
51.6,740.0,129.9,1979
46.6,566.0,134.4,1979
61.6,1236.0,119.8,1979
-62.7,4789.0,100.5,1979
65.7,1530.0,115.3,1979
69.4,1876.0,110.8,1979
37.4,343.0,138.7,1979
62.8,1324.0,118.2,1979
60.4,1175.0,120.3,1979
45.4,541.0,131.4,1979
55.1,905.0,124.0,1979
60.2,1167.0,119.7,1979
60.9,1205.0,118.9,1979
54.4,873.0,123.2,1979
68.7,1803.0,111.7,1979
53.9,851.0,122.4,1979
48.0,629.0,124.9,1979
51.5,756.0,122.4,1979
60.7,1190.0,116.8,1979
66.7,1612.0,112.4,1979
62.9,1328.0,114.6,1979
62.1,1275.0,114.6,1979
49.2,667.0,119.4,1979
46.3,571.0,119.3,1979
64.2,1411.0,112.1,1979
69.5,1857.0,108.9,1979
68.6,1761.0,109.2,1979
56.7,968.0,113.1,1979
58.7,1070.0,111.8,1979
56.3,950.0,111.7,1979
71.9,2122.0,106.4,1979
41.7,437.0,111.4,1979
58.4,1049.0,109.0,1979
68.8,1768.0,106.5,1979
69.9,1872.0,105.8,1979
70.7,1973.0,105.3,1979
61.9,1241.0,105.8,1979
61.1,1191.0,105.1,1979
46.5,564.0,103.6,1979
60.5,1152.0,103.6,1979
53.3,804.0,102.2,1979
67.5,1635.0,102.7,1979
56.8,959.0,100.8,1979
48.0,607.0,98.3,1979
51.5,731.0,97.9,1979
50.4,691.0,96.7,1979
54.2,841.0,96.6,1979
45.3,525.0,93.1,1979
48.9,639.0,93.1,1979
52.2,760.0,93.1,1979
64.1,1372.0,96.3,1979
52.2,759.0,91.1,1979
59.7,1109.0,93.1,1979
46.4,563.0,86.7,1979
49.6,668.0,86.9,1979
60.0,1131.0,90.8,1979
62.2,1251.0,91.1,1979
58.6,1050.0,88.4,1979
49.6,665.0,82.8,1979
55.1,888.0,84.8,1979
53.9,835.0,83.1,1979
47.7,596.0,78.6,1979
63.3,1329.0,87.4,1979
52.6,782.0,79.5,1979
53.7,827.0,79.2,1979
59.6,1115.0,82.5,1979
47.2,598.0,73.0,1979
50.7,720.0,74.3,1979
50.9,733.0,73.6,1979
43.8,483.0,67.5,1979
53.0,799.0,73.3,1979
50.1,693.0,70.2,1979
46.5,576.0,66.4,1979
57.9,1038.0,74.8,1979
56.0,949.0,72.4,1979
