DATETIME,INBOUND_LATITUDE,OUTBOUND_LATITUDE
1978-12-05 15:11:12,39.7,1.5
1978-12-06 14:21:42,52.1,-15.8
1978-12-07 14:31:46,45.9,-13.0
1978-12-08 14:40:12,59.6,-18.7
1978-12-09 14:48:14,0.0,-35.3
1978-12-11 15:04:10,47.4,-13.0
1978-12-12 15:11:51,51.0,-21.1
1978-12-13 15:19:28,39.9,-12.3
1978-12-14 15:28:58,51.1,-16.0
1978-12-15 15:38:23,41.8,-6.0
1978-12-16 15:47:36,58.7,-17.1
1978-12-17 15:56:41,43.7,-12.5
1978-12-18 16:05:40,48.9,-14.1
1978-12-20 16:23:22,56.0,-23.6
1978-12-21 16:31:58,0.0,-23.5
1978-12-22 16:40:26,46.7,-21.7
1978-12-23 16:48:46,59.8,-25.4
1978-12-24 16:57:01,55.6,-26.0
1978-12-25 17:05:12,57.6,-26.1
1978-12-26 17:13:23,52.0,-19.5
1978-12-27 17:21:31,48.7,-20.7
1978-12-28 17:29:35,55.9,-25.5
1978-12-29 17:37:40,51.0,-6.2
1978-12-30 17:45:41,60.3,-22.1
1978-12-31 17:53:40,57.2,-27.2
1979-01-01 18:01:37,58.1,-3.1
1979-01-03 18:17:24,64.1,-25.7
1979-01-04 18:22:26,0.0,-22.7
1979-01-05 18:27:21,65.8,-38.3
1979-01-06 18:32:15,0.0,-24.3
1979-01-07 18:37:09,71.9,-34.6
1979-01-08 18:42:02,55.1,-40.6
1979-01-09 18:46:54,68.6,-42.2
1979-01-10 18:51:47,0.0,-36.4
1979-01-11 18:56:33,55.0,-29.2
1979-01-12 19:00:55,42.0,-40.1
1979-01-14 19:09:34,0.0,-32.5
1979-01-15 19:13:53,30.8,-6.6
1979-01-16 19:18:12,36.3,-31.8
1979-01-17 19:22:23,58.0,-25.5
1979-01-18 19:25:56,0.0,-51.1
1979-01-19 19:29:28,54.2,-33.1
1979-01-21 19:36:30,41.8,-17.9
1979-01-22 19:40:02,60.7,-23.0
1979-01-23 19:43:34,24.8,-27.5
1979-01-24 19:46:53,58.1,-47.1
1979-01-25 19:49:20,0.0,-38.1
1979-01-26 19:51:45,48.6,-46.3
1979-01-27 19:54:10,46.0,-24.5
1979-01-29 19:58:58,55.3,-11.9
1979-01-30 20:01:23,60.5,-26.8
1979-01-31 20:03:34,64.1,-54.3
1979-02-01 20:04:31,70.5,0.0
1979-02-02 20:05:24,65.3,-41.3
1979-02-03 20:06:15,0.0,-40.8
1979-02-04 20:07:05,60.1,0.0
1979-02-06 20:08:47,58.5,-46.5
1979-02-07 20:09:23,67.3,0.0
1979-02-08 20:09:05,60.4,-40.0
1979-02-09 20:08:46,49.6,-43.7
1979-02-10 20:08:26,64.0,-33.1
1979-02-11 20:08:05,0.0,-29.9
1979-02-12 20:07:44,0.0,-42.7
1979-02-13 20:07:23,0.0,-33.2
1979-02-14 20:06:48,62.0,-25.3
1979-02-15 20:05:23,54.5,0.0
1979-02-16 20:03:55,63.0,0.0
1979-02-19 19:59:27,52.5,-19.2
1979-02-20 19:57:57,61.1,0.0
1979-02-21 19:56:14,59.3,-28.0
1979-02-22 19:53:44,57.3,-17.9
1979-02-23 19:51:13,54.6,-49.1
1979-02-24 19:48:39,0.0,-54.4
1979-02-25 19:46:03,64.1,-40.6
1979-02-26 19:43:27,67.1,-47.7
1979-02-27 19:40:42,26.5,8.2
1979-02-28 19:37:25,51.6,-46.4
1979-03-01 19:34:05,46.6,-31.2
1979-03-02 19:30:40,61.6,-26.9
1979-03-03 19:27:13,-62.7,-66.6
1979-03-04 19:23:43,65.7,-39.7
1979-03-05 19:20:13,69.4,0.0
1979-03-06 19:16:41,37.4,-5.3
1979-03-07 19:13:08,62.8,-28.0
1979-03-08 19:09:34,60.4,-26.7
1979-03-09 19:05:59,45.4,-32.0
1979-03-10 19:02:23,55.1,-21.5
1979-03-11 18:58:47,60.2,-31.0
1979-03-12 18:55:09,60.9,-23.6
1979-03-13 18:51:31,54.4,-28.2
1979-03-14 18:56:09,68.7,-41.7
1979-03-15 19:00:46,53.9,-32.0
1979-03-16 19:05:23,48.0,-6.4
1979-03-17 19:09:58,51.5,-31.8
1979-03-18 19:14:33,60.7,-18.3
1979-03-19 19:19:07,66.7,-30.2
1979-03-20 19:23:41,62.9,-25.2
1979-03-21 19:28:13,62.1,0.0
1979-03-22 19:32:45,49.2,-44.6
1979-03-23 19:37:16,46.3,-24.7
1979-03-24 19:41:45,64.2,-32.2
1979-03-25 19:46:14,69.5,-36.3
1979-03-26 19:50:41,68.6,-30.9
1979-03-27 19:55:08,56.7,-29.9
1979-03-28 19:59:34,58.7,-26.6
1979-03-29 20:03:58,56.3,0.0
1979-03-30 20:08:21,71.9,-21.2
1979-03-31 20:12:44,41.7,-12.6
1979-04-01 20:17:04,58.4,-23.7
1979-04-02 20:21:24,68.8,-22.9
1979-04-03 20:25:41,69.9,-21.8
1979-04-04 20:29:57,70.7,-25.9
1979-04-05 20:34:11,61.9,-24.4
1979-04-06 20:38:23,61.1,-27.2
1979-04-07 20:42:32,46.5,-13.5
1979-04-08 20:46:38,60.5,-31.3
1979-04-09 20:50:40,53.3,-18.9
1979-04-10 20:54:39,67.5,-32.0
1979-04-11 20:58:33,56.8,-18.6
1979-04-12 21:02:24,48.0,-18.8
1979-04-13 21:06:12,51.5,-23.6
1979-04-14 21:09:54,50.4,-17.8
1979-04-15 21:13:27,54.2,-15.9
1979-04-16 21:16:54,45.3,-13.3
1979-04-17 21:20:12,48.9,-16.7
1979-04-18 21:23:21,52.2,-18.4
1979-04-19 21:26:20,64.1,-28.4
1979-04-20 21:29:10,52.2,-12.2
1979-04-21 21:31:54,59.7,-16.6
1979-04-22 21:34:31,46.4,-18.3
1979-04-23 21:37:01,49.6,-14.1
1979-04-24 21:39:24,60.0,-18.7
1979-04-25 21:41:32,62.2,-21.5
1979-04-26 21:43:17,58.6,-21.2
1979-04-27 21:44:40,49.6,-15.6
1979-04-28 21:45:52,55.1,-15.7
1979-04-29 21:46:52,53.9,-5.7
1979-04-30 21:47:40,47.7,-14.2
1979-05-01 21:47:47,63.3,-21.8
1979-05-02 21:47:38,52.6,-8.6
1979-05-03 21:47:17,53.7,-7.6
1979-05-04 21:46:48,59.6,-9.1
1979-05-05 21:46:13,47.2,-1.9
1979-05-06 21:45:34,50.7,-9.0
1979-05-07 21:44:52,50.9,-8.7
1979-05-08 21:44:00,43.8,-4.1
1979-05-09 21:42:00,53.0,-7.3
1979-05-10 21:39:43,50.1,-0.4
1979-05-11 21:37:14,46.5,-2.6
1979-05-12 21:34:39,57.9,-11.0
1979-05-13 21:31:59,56.0,-5.4
1979-05-14 21:29:15,50.9,-7.3
1979-05-15 21:26:32,51.0,-5.2
1979-05-16 21:23:29,50.0,-6.4
1979-05-17 21:19:45,38.6,-0.2
1979-05-18 21:15:45,63.9,-14.6
1979-05-19 21:11:38,47.4,-4.4
1979-05-20 21:07:28,43.1,-3.2
1979-05-21 21:03:15,46.0,-4.4
1979-05-22 20:59:00,55.5,-9.0
1979-05-23 20:54:44,39.5,-0.9
1979-05-24 20:50:11,40.9,-2.1
1979-05-25 20:44:13,47.5,-3.4
1979-05-26 20:38:02,52.0,-3.9
1979-05-28 20:25:18,49.8,-0.9
1979-05-29 20:18:42,36.0,1.0
1979-05-30 20:11:08,35.2,-2.9
1979-05-31 20:03:05,43.2,-0.7
1979-06-01 20:11:33,51.0,-2.8
1979-06-02 20:19:40,34.8,-0.3
1979-06-03 20:27:45,38.5,0.0
1979-06-05 20:43:49,44.1,-8.2
1979-06-06 20:51:33,44.8,-5.2
1979-06-07 20:57:58,55.9,-8.2
1979-06-08 21:04:07,50.0,-6.5
1979-06-09 21:10:06,49.8,-1.6
1979-06-10 21:16:00,43.4,1.5
1979-06-11 21:21:48,48.1,0.2
1979-06-12 21:27:33,37.9,-8.0
1979-06-13 21:33:15,35.6,-0.6
1979-06-14 21:38:44,17.4,17.4
1979-06-15 21:42:52,36.2,0.1
1979-06-16 21:46:41,38.9,-3.0
1979-06-17 21:50:17,40.1,-2.0
1979-06-19 21:57:02,49.4,-2.7
1979-06-20 22:00:16,54.0,-9.6
1979-06-21 22:03:26,52.7,-0.5
1979-06-22 22:06:26,48.0,-5.8
1979-06-23 22:08:18,37.4,1.7
1979-06-24 22:09:54,34.4,-2.7
1979-06-25 22:11:14,46.8,-2.1
1979-06-26 22:12:21,61.1,-16.5
1979-06-27 22:13:18,40.0,-7.3
1979-06-28 22:14:05,53.2,-11.4
1979-06-29 22:14:45,42.9,-0.8
1979-06-30 22:15:18,53.7,-6.5
1979-07-01 22:15:45,35.4,-3.5
1979-07-02 22:16:06,38.2,2.5
1979-07-03 22:16:21,48.0,-2.1
1979-07-04 22:16:32,38.5,0.0
1979-07-05 22:16:38,42.4,-8.1
1979-07-06 22:16:44,36.2,-11.6
1979-07-07 22:16:36,43.7,-6.1
1979-07-08 22:16:28,35.3,-12.1
1979-07-11 22:15:34,63.5,-13.7
1979-07-12 22:15:10,56.5,-19.1
1979-07-13 22:14:34,40.3,-9.0
1979-07-14 22:13:56,50.3,-16.8
1979-07-15 22:13:13,47.2,-14.1
1979-07-16 22:12:24,57.2,-30.1
1979-07-17 22:11:29,54.0,-25.5
1979-07-18 22:10:28,52.1,-25.8
1979-07-19 22:09:21,46.1,-22.5
1979-07-20 22:08:06,54.2,-23.1
1979-07-21 22:06:45,41.1,-6.4
1979-07-22 22:05:16,44.3,-11.9
1979-07-23 22:03:40,45.9,-9.2
1979-07-24 22:01:57,50.2,-12.6
1979-07-25 22:04:11,57.1,-23.5
1979-07-26 22:06:17,49.4,-17.1
1979-07-27 22:08:17,56.8,-18.5
1979-07-28 22:10:08,56.6,-30.6
1979-07-29 22:11:50,50.6,-14.0
1979-07-30 22:13:26,53.9,-17.2
1979-07-31 22:14:55,58.3,-27.6
1979-08-01 22:16:16,55.5,-17.4
1979-08-02 22:17:32,63.4,-22.5
1979-08-03 22:18:42,58.9,-17.8
1979-08-04 22:19:47,65.5,-21.7
1979-08-05 22:20:48,61.3,-24.5
1979-08-06 22:21:47,60.4,-30.4
1979-08-07 22:22:41,65.0,-29.1
1979-08-08 22:23:34,55.4,-17.2
1979-08-09 22:24:22,56.5,-22.9
1979-09-13 22:49:17,53.4,0.0
1979-09-15 22:45:33,58.5,-17.0
1979-09-17 23:07:11,34.0,-46.8
1979-09-21 23:47:03,47.9,-48.6
1979-09-24 00:05:37,0.0,-61.2
1979-09-25 00:14:55,50.6,0.0
1979-09-27 00:33:13,64.7,0.0
1979-09-28 00:41:21,50.2,-33.4
1979-09-30 00:57:31,51.1,0.0
1979-10-01 01:05:34,39.1,-4.9
1979-10-02 01:13:37,48.5,-12.9
1979-10-04 01:29:30,66.0,-43.6
1979-10-05 01:36:30,46.6,-51.3
1979-10-07 01:50:18,61.2,-24.4
1979-10-08 01:57:10,64.3,-24.0
1979-10-09 02:04:01,63.0,-49.1
1979-10-11 02:17:35,64.7,-39.6
1979-10-12 02:23:59,54.5,-44.5
1979-10-13 02:30:23,0.0,-52.9
1979-10-16 02:49:24,61.6,-46.5
1979-10-18 03:01:58,60.8,41.3
1979-10-19 03:08:14,52.1,-35.8
1979-10-20 03:14:28,70.0,-39.0
1979-10-21 03:20:41,59.0,-43.0
1979-10-22 03:26:53,60.9,-43.8
1979-10-23 03:33:04,67.2,-35.1
1979-10-24 03:39:14,65.0,-39.3
1979-10-25 03:45:24,50.0,-20.7
1979-10-26 03:51:32,35.1,-20.2
